Category,Product,ProductCode,Variant,Code,Supplier,PriceDiscount,UOM,UnitPrice,Type,Released,ProductID,ID,ProductDescription,Description,Brand,ProductDiscontinued,VariantDiscontinued,"Inventory_Central Park Jakarta","Inventory_Gading Serpong Tangerang","Inventory_Lippo Mall Puri","Inventory_By The Sea PIK","Inventory_Ciputra World Surabaya","Inventory_Deli Park Medan","Inventory_Paskal Hyper Square Bandung","Inventory_Pakuwon Mall Surabaya","Inventory_Mall Kelapa Gading","Inventory_Living World Tangerang","Inventory_Website","Inventory_Marketplace","Inventory_Shopee","Inventory_Tokopedia","Inventory_TikTok","Inventory_Lazada","Inventory_Woocommerce","Inventory_ChicShopee","Inventory_KYTE","Inventory_Warehouse","Inventory_Buying Staff","Inventory_Diskon Defect","Inventory_Endorsement","Inventory_Sample Studio","Inventory_Loss/Damage","Inventory_Gudang Awal","Inventory_Gudang QC","Inventory_Gudang Permak","Inventory_Gudang Retur","Inventory_Gudang Logistik","Inventory_Sample Live","Inventory_Neo Soho Jakarta","Inventory_Bazaar Central Park","Inventory_Bazaar Lippo Mall Puri","Inventory_Puri Indah Mall","Inventory_Shopee - Deli Park Medan","Inventory_Shopee - Ciputra World Surabaya","Inventory_La Vela Tangerang","Inventory_Gaia Pontianak","Inventory_Sun Plaza Medan"
"CLOTHING/TOP/KNIT","Rochelle Top Cream",,"Default","F26HTP805CR",,"0.00","pcs","395000.0000",Standard,"2026-08-18",01a012d7-e6dd-7b2f-9902-b5c41ab01c24,01a012d7-e6fa-72c2-8dcf-da84656c8027,"915",,"CHOCOCHIPS","No","No",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"CLOTHING/TOP/KNIT","Rochelle Top Brown",,"Default","F26HTP805BN",,"0.00","pcs","395000.0000",Standard,"2026-08-18",01a012d7-e6b1-785a-9d97-4583cb328fc2,01a012d7-e6bb-7d99-9ce2-bc0a7f692842,"915",,"CHOCOCHIPS","No","No",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"CLOTHING/TOP/KNIT","Rochelle Top Navy",,"Default","F26HTP805NV",,"0.00","pcs","395000.0000",Standard,"2026-08-18",01a012d7-e5bd-7ac4-bba3-d36d973059b8,01a012d7-e61f-7af1-ae82-1b917af4e966,"915",,"CHOCOCHIPS","No","No",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"CLOTHING/BOTTOM/SHORT","Genevive Shorts White",,"S","F26HBG380WHS",,"0.00","pcs","395000.0000",Standard,"2026-08-06",019fd5e6-5538-7a59-97da-fb6e32f1f6f5,019fd5e6-5539-7002-b4a0-1e8bcc34c6f8,"D1029",,"CHOCOCHIPS","No","No",3.0000,2.0000,3.0000,2.0000,2.0000,4.0000,2.0000,3.0000,3.0000,3.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,3.0000,0.0000,4.0000
"CLOTHING/BOTTOM/SHORT","Genevive Shorts White",,"M","F26HBG380WHM",,"0.00","pcs","395000.0000",Standard,"2026-08-06",019fd5e6-5538-7a59-97da-fb6e32f1f6f5,019fd5e6-5544-7289-9426-900e082d377d,"D1029",,"CHOCOCHIPS","No","No",3.0000,2.0000,3.0000,3.0000,2.0000,4.0000,2.0000,2.0000,3.0000,4.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,3.0000,0.0000,4.0000
"CLOTHING/BOTTOM/SHORT","Genevive Shorts White",,"L","F26HBG380WHL",,"0.00","pcs","395000.0000",Standard,"2026-08-06",019fd5e6-5538-7a59-97da-fb6e32f1f6f5,019fd5e6-554d-798e-891e-4f76b6fcb68f,"D1029",,"CHOCOCHIPS","No","No",3.0000,1.0000,3.0000,1.0000,0.0000,3.0000,1.0000,0.0000,3.0000,2.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,3.0000
"CLOTHING/BOTTOM/SHORT","Genevive Shorts White",,"XL","F26HBG380WHXL",,"0.00","pcs","395000.0000",Standard,"2026-08-06",019fd5e6-5538-7a59-97da-fb6e32f1f6f5,019fd5e6-5557-782c-a50c-8bd2b360900e,"D1029",,"CHOCOCHIPS","No","No",3.0000,0.0000,1.0000,2.0000,1.0000,3.0000,0.0000,1.0000,2.0000,1.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,2.0000,0.0000,3.0000
"CLOTHING/BOTTOM/SHORT","Genevive Shorts Brown",,"S","F26HBG380BNS",,"0.00","pcs","395000.0000",Standard,"2026-08-06",019fd5e6-550c-711f-ad0d-a38ca002af1a,019fd5e6-550d-7785-aa97-e725149927d5,"D1029",,"CHOCOCHIPS","No","No",4.0000,2.0000,4.0000,3.0000,2.0000,4.0000,2.0000,3.0000,4.0000,3.0000,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,4.0000,0.0000,4.0000
"CLOTHING/BOTTOM/SHORT","Genevive Shorts Brown",,"M","F26HBG380BNM",,"0.00","pcs","395000.0000",Standard,"2026-08-06",019fd5e6-550c-711f-ad0d-a38ca002af1a,019fd5e6-5517-7b22-99af-2342c98e8318,"D1029",,"CHOCOCHIPS","No","No",3.0000,2.0000,3.0000,3.0000,2.0000,4.0000,2.0000,2.0000,2.0000,3.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,3.0000,0.0000,4.0000
"CLOTHING/BOTTOM/SHORT","Genevive Shorts Brown",,"L","F26HBG380BNL",,"0.00","pcs","395000.0000",Standard,"2026-08-06",019fd5e6-550c-711f-ad0d-a38ca002af1a,019fd5e6-5520-709e-b688-b9a50001f31f,"D1029",,"CHOCOCHIPS","No","No",3.0000,1.0000,1.0000,2.0000,1.0000,2.0000,1.0000,0.0000,3.0000,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,2.0000,0.0000,3.0000
